id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
424,FI_Balance,2030,6,19,24,1.9116
425,FI_Balance,2030,7,1,6,0.0
426,FI_Balance,2030,7,7,12,0.0
427,FI_Balance,2030,7,13,18,0.0
428,FI_Balance,2030,7,19,24,0.0
429,FI_Balance,2030,8,1,6,0.0
430,FI_Balance,2030,8,7,12,0.0
431,FI_Balance,2030,8,13,18,0.0
432,FI_Balance,2030,8,19,24,0.0
433,FI_Balance,2030,9,1,6,7.770895123577717
434,FI_Balance,2030,9,7,12,8.775601917617479
435,FI_Balance,2030,9,13,18,14.610023594977996
436,FI_Balance,2030,9,19,24,4.5666
437,FI_Balance,2030,10,1,6,4.8852
438,FI_Balance,2030,10,7,12,9.108
439,FI_Balance,2030,10,13,18,26.945725025456483
440,FI_Balance,2030,10,19,24,4.8852
441,FR_Balance,2030,1,1,6,5.6286000000000005
442,FR_Balance,2030,1,7,12,16.218
443,FR_Balance,2030,1,13,18,5.6286000000000005
444,FR_Balance,2030,1,19,24,10.494
445,FR_Balance,2030,2,1,6,0.0
446,FR_Balance,2030,2,7,12,0.0
447,FR_Balance,2030,2,13,18,0.0
448,FR_Balance,2030,2,19,24,3.5046
449,FR_Balance,2030,3,1,6,0.0
450,FR_Balance,2030,3,7,12,0.0
451,FR_Balance,2030,3,13,18,3.0798
452,FR_Balance,2030,3,19,24,0.0
453,FR_Balance,2030,4,1,6,0.0
454,FR_Balance,2030,4,7,12,0.0
455,FR_Balance,2030,4,13,18,0.0
456,FR_Balance,2030,4,19,24,0.0
457,FR_Balance,2030,5,1,6,0.0
458,FR_Balance,2030,5,7,12,0.0
459,FR_Balance,2030,5,13,18,0.0
460,FR_Balance,2030,5,19,24,0.0
461,FR_Balance,2030,6,1,6,0.0
462,FR_Balance,2030,6,7,12,1.9116
463,FR_Balance,2030,6,13,18,0.0
464,FR_Balance,2030,6,19,24,0.0
465,FR_Balance,2030,7,1,6,3.9294000000000002
466,FR_Balance,2030,7,7,12,22.10926817147226
467,FR_Balance,2030,7,13,18,11.132943813918342
468,FR_Balance,2030,7,19,24,24.86233897696603
469,FR_Balance,2030,8,1,6,0.0
470,FR_Balance,2030,8,7,12,0.0
471,FR_Balance,2030,8,13,18,0.0
472,FR_Balance,2030,8,19,24,0.0
473,FR_Balance,2030,9,1,6,0.0
474,FR_Balance,2030,9,7,12,0.0
475,FR_Balance,2030,9,13,18,0.0
476,FR_Balance,2030,9,19,24,4.5666
477,FR_Balance,2030,10,1,6,4.8852
478,FR_Balance,2030,10,7,12,9.108
479,FR_Balance,2030,10,13,18,9.108
480,FR_Balance,2030,10,19,24,9.108
481,GR_Balance,2030,1,1,6,12.647037675053962
482,GR_Balance,2030,1,7,12,5.6286000000000005
483,GR_Balance,2030,1,13,18,5.6286000000000005
484,GR_Balance,2030,1,19,24,21.526498535809708
485,GR_Balance,2030,2,1,6,0.0
486,GR_Balance,2030,2,7,12,0.0
487,GR_Balance,2030,2,13,18,0.0
488,GR_Balance,2030,2,19,24,0.0
489,GR_Balance,2030,3,1,6,5.742
490,GR_Balance,2030,3,7,12,8.873999999999999
491,GR_Balance,2030,3,13,18,5.742
492,GR_Balance,2030,3,19,24,8.873999999999999
493,GR_Balance,2030,4,1,6,0.0
494,GR_Balance,2030,4,7,12,0.0
495,GR_Balance,2030,4,13,18,2.4426
496,GR_Balance,2030,4,19,24,2.4426
497,GR_Balance,2030,5,1,6,4.570200329141243
498,GR_Balance,2030,5,7,12,0.0
499,GR_Balance,2030,5,13,18,5.5224
500,GR_Balance,2030,5,19,24,5.5224
501,GR_Balance,2030,6,1,6,1.9116
502,GR_Balance,2030,6,7,12,1.9116
503,GR_Balance,2030,6,13,18,0.0
504,GR_Balance,2030,6,19,24,1.9116
505,GR_Balance,2030,7,1,6,3.9294000000000002
506,GR_Balance,2030,7,7,12,0.0
507,GR_Balance,2030,7,13,18,3.9294000000000002
508,GR_Balance,2030,7,19,24,7.3260000000000005
509,GR_Balance,2030,8,1,6,3.2922000000000002
510,GR_Balance,2030,8,7,12,4.399403385042241
511,GR_Balance,2030,8,13,18,0.0
512,GR_Balance,2030,8,19,24,3.2922000000000002
513,GR_Balance,2030,9,1,6,31.040026175444503
514,GR_Balance,2030,9,7,12,11.521284699853965
515,GR_Balance,2030,9,13,18,5.996633361890307
516,GR_Balance,2030,9,19,24,8.514000000000001
517,GR_Balance,2030,10,1,6,4.8852
518,GR_Balance,2030,10,7,12,4.8852
519,GR_Balance,2030,10,13,18,4.8852
520,GR_Balance,2030,10,19,24,9.108
521,HR_Balance,2030,1,1,6,5.6286000000000005
522,HR_Balance,2030,1,7,12,10.494
523,HR_Balance,2030,1,13,18,5.6286000000000005
524,HR_Balance,2030,1,19,24,10.494
525,HR_Balance,2030,2,1,6,0.0
526,HR_Balance,2030,2,7,12,0.0
527,HR_Balance,2030,2,13,18,0.0
528,HR_Balance,2030,2,19,24,0.0
529,HR_Balance,2030,3,1,6,5.742
530,HR_Balance,2030,3,7,12,8.873999999999999
531,HR_Balance,2030,3,13,18,10.38419429567304
532,HR_Balance,2030,3,19,24,38.27679347949858
533,HR_Balance,2030,4,1,6,2.4426
534,HR_Balance,2030,4,7,12,2.4426
535,HR_Balance,2030,4,13,18,2.4426
536,HR_Balance,2030,4,19,24,2.4426
537,HR_Balance,2030,5,1,6,0.0
538,HR_Balance,2030,5,7,12,0.0
539,HR_Balance,2030,5,13,18,5.5224
540,HR_Balance,2030,5,19,24,2.624390152939553
541,HR_Balance,2030,6,1,6,1.9116
542,HR_Balance,2030,6,7,12,1.9116
543,HR_Balance,2030,6,13,18,0.0
544,HR_Balance,2030,6,19,24,0.1186302139336135
545,HR_Balance,2030,7,1,6,3.9294000000000002
546,HR_Balance,2030,7,7,12,3.9294000000000002
547,HR_Balance,2030,7,13,18,3.9294000000000002
548,HR_Balance,2030,7,19,24,7.3260000000000005
549,HR_Balance,2030,8,1,6,3.2922000000000002
550,HR_Balance,2030,8,7,12,4.399403385042241
551,HR_Balance,2030,8,13,18,0.08445414903983917
552,HR_Balance,2030,8,19,24,3.2922000000000002
553,HR_Balance,2030,9,1,6,4.5666
554,HR_Balance,2030,9,7,12,4.5666
555,HR_Balance,2030,9,13,18,4.5666
556,HR_Balance,2030,9,19,24,4.5666
557,HR_Balance,2030,10,1,6,4.8852
558,HR_Balance,2030,10,7,12,9.108
559,HR_Balance,2030,10,13,18,9.108
560,HR_Balance,2030,10,19,24,9.108
561,HU_Balance,2030,1,1,6,5.6286000000000005
562,HU_Balance,2030,1,7,12,10.494
563,HU_Balance,2030,1,13,18,5.6286000000000005
564,HU_Balance,2030,1,19,24,10.494
565,HU_Balance,2030,2,1,6,0.0
566,HU_Balance,2030,2,7,12,0.0
567,HU_Balance,2030,2,13,18,0.0
568,HU_Balance,2030,2,19,24,0.0
569,HU_Balance,2030,3,1,6,5.742
570,HU_Balance,2030,3,7,12,8.873999999999999
571,HU_Balance,2030,3,13,18,10.38419429567304
572,HU_Balance,2030,3,19,24,38.27679347949858
573,HU_Balance,2030,4,1,6,2.4426
574,HU_Balance,2030,4,7,12,2.4426
575,HU_Balance,2030,4,13,18,2.4426
576,HU_Balance,2030,4,19,24,2.4426
577,HU_Balance,2030,5,1,6,0.0
578,HU_Balance,2030,5,7,12,0.0
579,HU_Balance,2030,5,13,18,5.5224
580,HU_Balance,2030,5,19,24,2.624390152939553
581,HU_Balance,2030,6,1,6,1.9116
582,HU_Balance,2030,6,7,12,1.9116
583,HU_Balance,2030,6,13,18,0.0
584,HU_Balance,2030,6,19,24,1.9116
